ros_time_s,exec_index,target_index,buffer_lead,latency_ms,compute_ms,path_length,ik_counts,base_dx,base_dy,base_dz,base_disp_m,success
1773655008.524136,49,51,2,2.771,2.671,4.951301,8;8,-0.016045,-0.000027,0.000000,0.016045,1
1773655008.955359,50,52,2,3.028,2.922,7.527116,8;8,-0.016463,-0.000028,0.000000,0.016463,1
1773655009.389008,51,53,2,2.717,2.619,4.957821,8;8,-0.017027,-0.000029,0.000000,0.017027,1
1773655009.813869,52,54,2,3.426,3.247,7.432542,8;8,-0.017265,-0.000029,0.000000,0.017265,1
1773655010.259140,53,55,2,2.820,2.718,4.978822,8;8,-0.017790,-0.000030,0.000000,0.017790,1
1773655010.486907,54,56,2,2.587,2.478,4.938415,8;8,-0.018000,-0.000031,0.000000,0.018000,1
1773655010.873692,55,57,2,3.072,2.977,4.865115,8;8,-0.018282,-0.000031,0.000000,0.018282,1
1773655010.877966,56,58,2,2.492,2.365,4.834663,8;8,-0.018282,-0.000031,0.000000,0.018282,1
1773655010.899188,57,59,2,2.577,2.469,4.835384,8;8,-0.018304,-0.000031,0.000000,0.018304,1
1773655011.159700,58,60,2,3.367,3.258,4.843780,8;8,-0.018699,-0.000032,0.000000,0.018699,1
1773655011.163779,59,61,2,2.559,2.453,4.855039,8;8,-0.018699,-0.000032,0.000000,0.018699,1
1773655011.700808,60,62,2,2.654,2.541,4.857673,8;8,-0.019296,-0.000033,0.000000,0.019296,1
1773655012.140604,61,63,2,2.551,2.450,4.860253,8;8,-0.019631,-0.000033,0.000000,0.019631,1
1773655012.585535,62,64,2,2.838,2.726,4.862700,8;8,-0.020088,-0.000034,0.000000,0.020088,1
1773655013.029405,63,65,2,3.051,2.956,4.864996,8;8,-0.020276,-0.000034,0.000000,0.020276,1
1773655013.471207,64,66,2,2.660,2.570,4.867114,8;8,-0.020874,-0.000035,0.000000,0.020874,1
1773655013.913232,65,67,2,2.922,2.821,4.869006,8;8,-0.021128,-0.000036,0.000000,0.021128,1
1773655014.355685,66,68,2,3.608,3.491,4.870646,8;8,-0.021762,-0.000037,0.000000,0.021762,1
1773655014.795346,67,69,2,3.276,3.173,7.566892,8;8,-0.022090,-0.000038,0.000000,0.022090,1
1773655015.232591,68,70,2,2.618,2.490,4.873127,8;8,-0.022574,-0.000038,0.000000,0.022574,1
1773655015.680694,69,71,2,2.656,2.552,4.874383,8;8,-0.022960,-0.000039,0.000000,0.022960,1
1773655016.109245,70,72,2,3.101,2.994,4.874560,8;8,-0.023472,-0.000040,0.000000,0.023472,1
1773655016.556012,71,73,2,3.729,3.516,7.394382,8;8,-0.023863,-0.000041,0.000000,0.023863,1
1773655016.978890,72,74,2,2.659,2.560,4.868798,8;8,-0.024421,-0.000041,0.000000,0.024422,1
1773655016.983727,73,75,2,2.694,2.582,9.075069,8;8,-0.024421,-0.000041,0.000000,0.024422,1
1773655017.471004,74,76,2,2.489,2.400,7.379082,8;8,-0.025089,-0.000043,0.000000,0.025089,1
